id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
495603,,0.806006,0.000000,0.167152,0.800000,0.300000,0.617839,0.480000,0.000000,0.000000,0.000000
495604,,0.000000,0.000000,0.089019,0.800000,0.300000,0.702273,0.600000,0.000000,0.000000,0.000000
495605,,0.000000,0.000000,0.070000,0.800000,0.300000,0.612312,0.000000,0.721698,0.500000,0.804089
495606,,0.000000,0.000000,0.704372,0.800000,0.300000,0.693028,0.290000,0.000000,0.000000,0.000000
495607,IncFIB(K),0.000000,0.000000,0.070000,0.800000,0.900000,0.635029,0.000000,0.000000,0.000000,0.000000
495608,IncFIB(K),0.000000,0.000000,0.128448,0.800000,0.900000,0.680090,0.000000,0.000000,0.000000,0.000000
495609,,0.000000,0.000000,0.082141,0.800000,0.300000,0.671249,0.290000,0.000000,0.000000,0.140165
495610,Col440I,0.000000,0.000000,0.070000,0.800000,0.500000,0.553981,0.000000,0.000000,0.000000,0.000000
495611,,0.000000,0.000000,0.087522,0.800000,0.300000,0.646903,0.290000,0.000000,0.000000,0.000000
495612,,0.691284,0.000000,0.505727,0.800000,0.300000,0.587540,0.370000,1.000000,1.000000,1.000000
495613,,0.000000,0.000000,0.080873,0.800000,0.300000,0.632574,0.000000,0.000000,0.000000,0.000000
495614,,0.000000,0.000000,0.070000,0.800000,0.300000,0.616731,0.000000,0.000000,0.000000,0.000000
495615,,0.000000,0.000000,0.109002,0.800000,0.300000,0.547807,0.000000,0.227670,0.166667,0.000000
495616,,0.000000,0.000000,0.070000,0.800000,0.300000,0.557992,0.000000,0.721698,0.833333,0.950785
495617,,0.000000,0.000000,0.099481,0.800000,0.300000,0.612377,0.000000,0.000000,0.000000,0.000000
495618,,0.000000,0.000000,0.083134,0.800000,0.300000,0.620037,0.000000,0.000000,0.000000,0.000000
495619,,0.000000,0.000000,0.070000,0.800000,0.300000,0.468435,0.000000,0.000000,0.000000,0.000000
495620,,0.000000,0.330000,0.070000,0.820000,0.300000,0.598372,0.290000,0.639151,0.500000,0.458090
495621,,0.000000,0.000000,0.114830,0.800000,0.300000,0.538564,0.000000,0.000000,0.000000,0.000000
495622,,0.000000,0.000000,0.117908,0.800000,0.300000,0.534157,0.000000,0.842480,0.666667,0.774819
495623,,0.000000,0.000000,0.070000,0.800000,0.300000,0.696517,0.000000,0.000000,0.000000,0.000000
495624,,0.000000,0.000000,0.091611,0.800000,0.300000,0.678983,0.530000,0.000000,0.000000,0.000000
495625,,0.000000,0.000000,0.070000,0.800000,0.300000,0.530966,0.000000,0.000000,0.000000,0.000000
495626,,0.000000,0.000000,0.070000,0.800000,0.300000,0.524058,0.290000,0.000000,0.000000,0.000000
495627,,0.000000,0.000000,0.070000,0.800000,0.300000,0.666096,0.330000,0.756304,0.500000,0.538768
495628,,0.000000,0.000000,0.070000,0.800000,0.300000,0.612227,0.410000,0.930594,0.750000,0.774819
495629,,0.000000,0.000000,0.070000,0.800000,0.300000,0.548868,0.000000,0.000000,0.000000,0.000000
495630,IncFIB(K),0.000000,0.000000,0.118541,0.800000,0.900000,0.640093,0.600000,0.930594,0.750000,0.786936
