id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
198242,,0.000000,0.000000,0.159820,0.760000,0.300000,0.538445,0.000000,0.000000,0.000000,0.000000
198243,IncFII,0.000000,0.480000,0.114405,0.780000,0.900000,0.585195,0.000000,0.683011,0.583333,0.755373
198244,,0.000000,0.480000,0.070000,0.780000,0.300000,0.610256,0.370000,0.360849,0.166667,0.284318
198245,,0.000000,0.000000,0.070000,0.760000,0.300000,0.516568,0.000000,0.227670,0.000000,0.140165
198246,,0.000000,0.000000,0.070000,0.760000,0.300000,0.681759,0.370000,0.227670,0.083333,0.223984
198247,,0.000000,0.480000,0.089744,0.780000,0.300000,0.665890,0.000000,0.227670,0.083333,0.331538
198248,,0.000000,0.000000,0.088585,0.760000,0.300000,0.642996,0.330000,0.000000,0.000000,0.000000
198249,,0.000000,0.000000,0.109735,0.760000,0.300000,0.546570,0.000000,0.000000,0.000000,0.000000
198250,IncFII(29),0.000000,0.000000,0.603430,0.760000,0.900000,0.649458,0.000000,0.360849,0.083333,0.140165
198251,,0.000000,0.000000,0.070000,0.760000,0.300000,0.474537,0.000000,0.787610,0.666667,0.933533
198252,,0.000000,0.000000,0.190064,0.760000,0.300000,0.546094,0.000000,0.639151,0.333333,0.403640
198253,,0.000000,0.000000,0.070000,0.760000,0.300000,0.505401,0.000000,0.360849,0.166667,0.331538
198254,ColRNAI,0.000000,0.000000,0.070000,0.760000,0.900000,0.540113,0.000000,0.683011,0.500000,0.481077
198255,,0.000000,0.000000,0.118638,0.760000,0.300000,0.533153,0.000000,0.000000,0.000000,0.000000
198256,,0.000000,0.000000,0.070000,0.760000,0.300000,0.695864,0.370000,0.000000,0.000000,0.000000
198257,,0.000000,0.000000,0.075465,0.760000,0.300000,0.678218,0.000000,0.000000,0.000000,0.000000
198258,,0.000000,0.480000,0.070000,0.780000,0.300000,0.605772,0.290000,0.000000,0.000000,0.000000
198259,IncFIB(AP001918),0.000000,0.000000,0.098681,0.760000,0.900000,0.568205,0.000000,0.000000,0.000000,0.000000
198260,,0.000000,0.000000,0.103814,0.760000,0.300000,0.557278,0.000000,0.000000,0.000000,0.000000
198261,,0.000000,0.000000,0.077240,0.760000,0.300000,0.659559,0.000000,0.227670,0.000000,0.140165
198262,,0.000000,0.000000,0.070000,0.760000,0.300000,0.651417,0.000000,0.000000,0.000000,0.000000
