id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BM,S_GEO,S_HAB,S_GROW
396483,,0.000000,0.000000,0.132735,0.720000,0.300000,0.608261,0.290000,0.000000,0.000000,0.000000
396484,,0.872303,0.000000,0.114951,0.720000,0.300000,0.584384,0.000000,0.000000,0.000000,0.000000
396485,,0.000000,0.000000,0.070000,0.720000,0.300000,0.468492,0.000000,0.000000,0.000000,0.000000
396486,,0.000000,0.000000,0.094490,0.720000,0.300000,0.578688,0.000000,0.000000,0.000000,0.000000
396487,,0.000000,0.000000,0.115317,0.720000,0.300000,0.537846,0.000000,0.000000,0.000000,0.000000
396488,,0.000000,0.000000,0.141702,0.720000,0.300000,0.507398,0.000000,0.000000,0.000000,0.000000
396489,,0.000000,0.510000,0.077849,0.760000,0.300000,0.700199,0.000000,0.000000,0.000000,0.000000
396490,,0.000000,0.480000,0.070000,0.740000,0.300000,0.624508,0.000000,0.000000,0.000000,0.000000
396491,,0.000000,0.000000,0.070000,0.720000,0.300000,0.610270,0.000000,0.000000,0.000000,0.000000
396492,,0.000000,0.000000,0.083364,0.720000,0.300000,0.618882,0.000000,0.000000,0.000000,0.000000
396493,,0.000000,0.000000,0.164379,0.720000,0.300000,0.562067,0.000000,0.000000,0.000000,0.000000
396494,,0.000000,0.000000,0.135963,0.720000,0.300000,0.512934,0.000000,0.000000,0.000000,0.000000
396495,,0.000000,0.000000,0.084602,0.760000,0.300000,0.659002,0.600000,0.910681,0.666667,0.577761
396496,,0.000000,0.000000,0.070000,0.720000,0.300000,0.582067,0.000000,0.000000,0.000000,0.000000
396497,,0.000000,0.000000,0.124171,0.720000,0.300000,0.572002,0.000000,0.000000,0.000000,0.000000
396498,,0.000000,0.000000,0.070000,0.720000,0.300000,0.498988,0.000000,0.000000,0.083333,0.140165
396499,,0.000000,0.000000,0.070000,0.720000,0.300000,0.506310,0.000000,0.000000,0.000000,0.000000
396500,,0.000000,0.000000,0.083522,0.720000,0.300000,0.664102,0.290000,0.000000,0.000000,0.000000
396501,,0.000000,0.000000,0.070000,0.720000,0.300000,0.553174,0.290000,0.000000,0.000000,0.140165
396502,,0.000000,0.000000,0.420000,0.720000,0.300000,0.675155,0.330000,0.000000,0.000000,0.000000
396503,,0.000000,0.330000,0.101422,0.740000,0.300000,0.654145,0.290000,0.227670,0.083333,0.000000
396504,,0.000000,0.000000,0.084818,0.720000,0.300000,0.612030,0.290000,0.227670,0.083333,0.432461
396505,IncFII,0.000000,0.000000,0.420000,0.720000,0.900000,0.596791,0.000000,0.000000,0.000000,0.000000
396506,,0.000000,0.330000,0.096383,0.780000,0.300000,0.619745,0.000000,0.588519,0.416667,0.331538
396507,,0.000000,0.330000,0.070000,0.780000,0.300000,0.644004,0.000000,0.227670,0.166667,0.223984
396508,,0.000000,0.000000,0.091106,0.720000,0.300000,0.588556,0.000000,0.000000,0.000000,0.000000
396509,,0.000000,0.000000,0.138697,0.720000,0.300000,0.556237,0.000000,0.000000,0.000000,0.000000
396510,,0.000000,0.330000,0.070000,0.740000,0.300000,0.704384,0.290000,0.000000,0.000000,0.000000
396511,,0.000000,0.000000,0.070000,0.720000,0.300000,0.696018,0.000000,0.000000,0.000000,0.000000
396512,IncFIC(FII),0.000000,0.000000,0.420000,0.720000,0.900000,0.580799,0.000000,0.000000,0.083333,0.140165
396513,,0.000000,0.000000,0.070000,0.720000,0.300000,0.504380,0.000000,0.000000,0.083333,0.140165
396514,,0.000000,0.000000,0.070000,0.720000,0.300000,0.681522,0.000000,0.000000,0.000000,0.000000
396515,,0.872303,0.000000,0.425314,0.720000,0.300000,0.680085,0.330000,0.000000,0.000000,0.000000
396516,,0.691284,0.000000,0.203523,0.720000,0.300000,0.588341,0.000000,0.000000,0.000000,0.000000
396517,,0.000000,0.000000,0.133925,0.720000,0.300000,0.561015,0.000000,0.000000,0.000000,0.000000
396518,,0.872303,0.000000,0.106346,0.720000,0.300000,0.552486,0.000000,0.000000,0.000000,0.000000
396519,,0.691284,0.000000,0.086014,0.760000,0.300000,0.606879,0.530000,0.528634,0.250000,0.331538
396520,,0.000000,0.360000,0.070000,0.760000,0.300000,0.673231,0.290000,0.000000,0.000000,0.000000
396521,,0.000000,0.000000,0.070000,0.720000,0.300000,0.643467,0.000000,0.000000,0.000000,0.140165
396522,IncI1,0.000000,0.000000,0.086136,0.720000,0.900000,0.606375,0.000000,0.000000,0.000000,0.000000
396523,,0.000000,0.330000,0.096359,0.740000,0.300000,0.680612,0.330000,0.000000,0.000000,0.000000
396524,IncFIC(FII),0.000000,0.000000,0.070000,0.720000,0.900000,0.540422,0.000000,0.000000,0.000000,0.000000
396525,,0.000000,0.000000,0.070000,0.720000,0.300000,0.504347,0.290000,0.000000,0.000000,0.000000
396526,,0.000000,0.000000,0.171471,0.720000,0.300000,0.576350,0.000000,0.000000,0.000000,0.000000
396527,,0.000000,0.000000,0.070000,0.720000,0.300000,0.549443,0.000000,0.000000,0.000000,0.000000
396528,,0.000000,0.000000,0.496459,0.720000,0.300000,0.622040,0.290000,0.227670,0.166667,0.140165
396529,,0.000000,0.000000,0.070000,0.720000,0.300000,0.532025,0.000000,0.000000,0.000000,0.000000
396530,,0.000000,0.000000,0.156605,0.720000,0.300000,0.494866,0.000000,0.000000,0.000000,0.000000
396531,,0.000000,0.480000,0.070000,0.780000,0.300000,0.599704,0.000000,0.455340,0.083333,0.331538
396532,,0.000000,0.000000,0.132035,0.720000,0.300000,0.589915,0.000000,0.227670,0.000000,0.140165
396533,,0.000000,0.000000,0.070000,0.720000,0.300000,0.591282,0.000000,0.227670,0.083333,0.140165
396534,,0.000000,0.000000,0.210994,0.720000,0.300000,0.600520,0.000000,0.000000,0.000000,0.000000
396535,,0.000000,0.510000,0.070000,0.760000,0.300000,0.552067,0.000000,0.360849,0.083333,0.284318
396536,,0.000000,0.000000,0.070000,0.720000,0.300000,0.557038,0.000000,0.000000,0.000000,0.000000
396537,,0.000000,0.000000,0.070000,0.720000,0.300000,0.467458,0.000000,0.000000,0.000000,0.000000
396538,,0.000000,0.390000,0.070000,0.780000,0.300000,0.643992,0.570000,0.000000,0.000000,0.223984
396539,,0.000000,0.330000,0.098831,0.740000,0.300000,0.659856,0.000000,0.000000,0.000000,0.000000
396540,,0.000000,0.480000,0.478829,0.740000,0.300000,0.658526,0.330000,0.000000,0.000000,0.000000
396541,,0.000000,0.000000,0.070000,0.720000,0.300000,0.533347,0.000000,0.000000,0.000000,0.000000
396542,ColRNAI,0.691284,0.000000,0.420000,0.720000,0.900000,0.573892,0.000000,0.000000,0.000000,0.000000
396543,,0.691284,0.000000,0.420000,0.720000,0.300000,0.566456,0.000000,0.000000,0.000000,0.000000
396544,IncFII(pSE11),0.000000,0.000000,0.070000,0.720000,0.900000,0.545863,0.000000,0.000000,0.000000,0.000000
396545,,0.000000,0.000000,0.091938,0.720000,0.300000,0.658895,0.290000,0.000000,0.000000,0.000000
396546,,0.000000,0.000000,0.100658,0.720000,0.300000,0.636687,0.290000,0.000000,0.000000,0.000000
396547,,0.000000,0.000000,0.121582,0.720000,0.300000,0.575253,0.000000,0.000000,0.000000,0.000000
396548,,0.000000,0.000000,0.453274,0.720000,0.300000,0.558346,0.000000,0.000000,0.000000,0.000000
396549,,0.000000,0.000000,0.070000,0.720000,0.300000,0.506246,0.000000,0.000000,0.000000,0.000000
396550,,0.000000,0.000000,0.070000,0.720000,0.300000,0.667105,0.000000,0.000000,0.000000,0.000000
396551,,0.000000,0.000000,0.423899,0.720000,0.300000,0.700623,0.290000,0.360849,0.083333,0.284318
396552,,0.000000,0.330000,0.700000,0.780000,0.300000,0.562553,0.000000,0.360849,0.166667,0.694091
396553,,0.000000,0.480000,0.468898,0.740000,0.300000,0.670796,0.330000,0.000000,0.000000,0.000000
396554,,0.000000,0.000000,0.070000,0.760000,0.300000,0.580494,0.290000,0.639151,0.500000,0.623236
396555,,0.000000,0.000000,0.070000,0.720000,0.300000,0.655708,0.000000,0.000000,0.000000,0.000000
396556,,0.000000,0.000000,0.070000,0.720000,0.300000,0.641335,0.000000,0.000000,0.000000,0.000000
396557,,0.691284,0.000000,0.191426,0.720000,0.300000,0.636260,0.440000,0.000000,0.000000,0.000000
396558,,0.000000,0.000000,0.090096,0.720000,0.300000,0.591809,0.000000,0.000000,0.000000,0.000000
396559,,0.436151,0.000000,0.198985,0.720000,0.300000,0.520353,0.000000,0.000000,0.000000,0.000000
396560,,0.000000,0.480000,0.470004,0.740000,0.300000,0.669312,0.330000,0.000000,0.000000,0.000000
396561,,0.000000,0.000000,0.070000,0.720000,0.300000,0.637558,0.000000,0.000000,0.000000,0.000000
396562,,0.000000,0.000000,0.104835,0.720000,0.300000,0.601303,0.440000,0.000000,0.000000,0.000000
396563,,0.000000,0.390000,0.082149,0.780000,0.300000,0.671209,0.490000,0.000000,0.000000,0.000000
396564,,0.000000,0.480000,0.078419,0.740000,0.300000,0.649544,0.290000,0.000000,0.000000,0.000000
396565,,0.691284,0.000000,0.232109,0.720000,0.300000,0.536775,0.000000,0.000000,0.000000,0.000000
396566,,0.000000,0.000000,0.614639,0.720000,0.300000,0.593338,0.000000,0.000000,0.000000,0.000000
396567,,0.000000,0.000000,0.070000,0.720000,0.300000,0.592463,0.000000,0.000000,0.000000,0.000000
396568,,0.000000,0.000000,0.070000,0.720000,0.300000,0.544099,0.000000,0.000000,0.000000,0.000000
396569,,0.000000,0.000000,0.160280,0.720000,0.300000,0.538107,0.000000,0.000000,0.000000,0.000000
396570,,0.000000,0.000000,0.070000,0.720000,0.300000,0.498808,0.000000,0.000000,0.000000,0.000000
396571,,0.000000,0.330000,0.087978,0.780000,0.300000,0.645200,0.490000,0.639151,0.416667,0.598355
396572,,0.000000,0.000000,0.477263,0.720000,0.300000,0.614318,0.330000,0.000000,0.000000,0.000000
396573,,0.000000,0.000000,0.095889,0.720000,0.300000,0.575001,0.000000,0.000000,0.166667,0.284318
396574,,0.000000,0.000000,0.070000,0.720000,0.300000,0.662258,0.000000,0.227670,0.083333,0.140165
396575,,0.000000,0.000000,0.438040,0.720000,0.300000,0.598974,0.000000,0.000000,0.000000,0.000000
396576,,0.000000,0.000000,0.070000,0.720000,0.300000,0.493784,0.000000,0.000000,0.000000,0.000000
396577,,0.000000,0.510000,0.072443,0.760000,0.300000,0.731665,0.000000,0.000000,0.000000,0.000000
396578,,0.000000,0.480000,0.451909,0.740000,0.300000,0.690261,0.330000,0.000000,0.000000,0.000000
396579,IncI1,0.691284,0.000000,0.175162,0.720000,0.900000,0.673590,0.440000,0.000000,0.000000,0.000000
396580,,0.000000,0.000000,0.070000,0.720000,0.300000,0.650480,0.000000,0.000000,0.083333,0.140165
396581,,0.000000,0.000000,0.090102,0.720000,0.300000,0.591791,0.000000,0.000000,0.000000,0.000000
396582,IncFII(pHN7A8),0.000000,0.000000,0.614713,0.720000,0.900000,0.665992,0.000000,0.000000,0.000000,0.000000
396583,,0.000000,0.480000,0.078390,0.740000,0.300000,0.649775,0.290000,0.000000,0.000000,0.000000
396584,IncFIA,0.000000,0.000000,0.094480,0.720000,0.900000,0.624714,0.290000,0.227670,0.166667,0.223984
396585,,0.000000,0.480000,0.436062,0.740000,0.300000,0.606681,0.000000,0.227670,0.166667,0.611119
396586,,0.000000,0.000000,0.070000,0.720000,0.300000,0.550262,0.000000,0.000000,0.000000,0.000000
396587,,0.436151,0.000000,0.070000,0.720000,0.300000,0.700274,0.410000,0.000000,0.083333,0.458090
396588,,0.000000,0.330000,0.096449,0.740000,0.300000,0.680385,0.330000,0.000000,0.000000,0.000000
396589,,0.000000,0.000000,0.098195,0.720000,0.300000,0.569337,0.000000,0.000000,0.000000,0.000000
396590,,0.000000,0.000000,0.070000,0.720000,0.300000,0.548202,0.000000,0.000000,0.000000,0.000000
396591,,0.000000,0.000000,0.070000,0.720000,0.300000,0.505336,0.000000,0.000000,0.000000,0.000000
396592,IncHI2,0.000000,0.000000,0.089743,0.720000,0.900000,0.684985,0.290000,0.000000,0.000000,0.000000
396593,,0.000000,0.000000,0.070000,0.720000,0.300000,0.587045,0.000000,0.000000,0.000000,0.140165
396594,,0.000000,0.330000,0.070000,0.740000,0.300000,0.530966,0.000000,0.000000,0.000000,0.000000
396595,,0.000000,0.000000,0.227150,0.720000,0.300000,0.501323,0.000000,0.000000,0.000000,0.000000
396596,,0.000000,0.000000,0.181441,0.720000,0.300000,0.478133,0.000000,0.000000,0.000000,0.000000
396597,,0.000000,0.000000,0.595000,0.720000,0.300000,0.693784,0.000000,0.000000,0.000000,0.000000
396598,,0.000000,0.000000,0.070000,0.720000,0.300000,0.632919,0.000000,0.000000,0.000000,0.000000
396599,,0.000000,0.360000,0.088987,0.760000,0.300000,0.595576,0.000000,0.000000,0.000000,0.000000
396600,,0.000000,0.000000,0.070000,0.720000,0.300000,0.538366,0.000000,0.000000,0.000000,0.000000
396601,,0.436151,0.000000,0.091604,0.720000,0.300000,0.679004,0.330000,0.000000,0.000000,0.000000
396602,,0.000000,0.510000,0.076091,0.760000,0.300000,0.671031,0.000000,0.000000,0.083333,0.140165
396603,Col(MG828),0.000000,0.000000,0.420000,0.720000,0.500000,0.488137,0.000000,0.000000,0.000000,0.000000
396604,,0.000000,0.000000,0.118833,0.760000,0.300000,0.662023,0.000000,0.227670,0.250000,0.309200
396605,,0.000000,0.000000,0.070000,0.720000,0.300000,0.505401,0.000000,0.000000,0.000000,0.000000
396606,,0.000000,0.000000,0.171078,0.720000,0.300000,0.484610,0.000000,0.000000,0.000000,0.000000
396607,,0.000000,0.000000,0.111124,0.720000,0.300000,0.590289,0.000000,0.000000,0.000000,0.000000
396608,,0.000000,0.000000,0.093693,0.720000,0.300000,0.580883,0.290000,0.000000,0.000000,0.000000
396609,,0.000000,0.000000,0.186792,0.720000,0.300000,0.547927,0.000000,0.000000,0.083333,0.140165
396610,,0.000000,0.000000,0.070000,0.720000,0.300000,0.539666,0.000000,0.000000,0.000000,0.000000
396611,,0.000000,0.000000,0.070000,0.720000,0.300000,0.519035,0.000000,0.000000,0.000000,0.000000
396612,,0.000000,0.330000,0.085634,0.740000,0.300000,0.681377,0.000000,0.000000,0.000000,0.000000
396613,,0.000000,0.000000,0.111576,0.720000,0.300000,0.662469,0.000000,0.000000,0.000000,0.000000
396614,,0.000000,0.000000,0.100218,0.720000,0.300000,0.564741,0.000000,0.000000,0.000000,0.000000
396615,,0.000000,0.000000,0.070000,0.720000,0.300000,0.471283,0.000000,0.000000,0.083333,0.140165
396616,,0.000000,0.000000,0.070000,0.720000,0.300000,0.546500,0.000000,0.000000,0.000000,0.000000
396617,IncFIC(FII),0.000000,0.000000,0.420000,0.720000,0.900000,0.596717,0.000000,0.000000,0.000000,0.000000
396618,,0.000000,0.000000,0.070000,0.720000,0.300000,0.538960,0.000000,0.000000,0.000000,0.000000
396619,,0.000000,0.000000,0.070000,0.720000,0.300000,0.504810,0.000000,0.000000,0.000000,0.000000
