id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
594724,,0.691284,0.000000,0.191951,0.760000,0.300000,0.518151,0.000000,0.000000,0.000000,0.000000
594725,,0.691284,0.000000,0.070000,0.760000,0.300000,0.606474,0.410000,0.930594,0.833333,1.000000
594726,,0.872303,0.000000,0.085971,0.760000,0.300000,0.607056,0.570000,0.683011,0.583333,0.862578
594727,,0.000000,0.330000,0.084207,0.780000,0.300000,0.614822,0.370000,1.000000,0.833333,0.856445
594728,,0.872303,0.000000,0.094434,0.800000,0.300000,0.578839,0.000000,0.227670,0.083333,0.140165
594729,,0.000000,0.330000,0.070000,0.780000,0.300000,0.578024,0.330000,0.528634,0.416667,1.000000
594730,,0.000000,0.000000,0.075652,0.760000,0.300000,0.675996,0.000000,0.000000,0.000000,0.000000
594731,,0.806006,0.000000,0.094637,0.760000,0.300000,0.624290,0.440000,0.000000,0.000000,0.000000
594732,,0.436151,0.000000,0.095325,0.760000,0.300000,0.576462,0.290000,0.000000,0.000000,0.000000
594733,,0.436151,0.000000,0.098763,0.760000,0.300000,0.568014,0.000000,0.000000,0.000000,0.000000
594734,,0.872303,0.570000,0.086667,0.840000,0.300000,0.696223,0.530000,0.455340,0.583333,0.866916
594735,,0.000000,0.000000,0.070000,0.760000,0.300000,0.656427,0.000000,0.227670,0.500000,0.403640
594736,,0.691284,0.000000,0.112167,0.760000,0.300000,0.634625,0.440000,0.000000,0.000000,0.000000
594737,,0.000000,0.480000,0.073568,0.740000,0.300000,0.706527,0.290000,0.000000,0.000000,0.000000
594738,,0.000000,0.480000,0.086010,0.780000,0.300000,0.679802,0.290000,0.455340,0.250000,0.331538
594739,,0.000000,0.000000,0.431742,0.720000,0.300000,0.700378,0.000000,0.000000,0.000000,0.000000
594740,,0.000000,0.570000,0.094659,0.840000,0.300000,0.651138,0.290000,0.639151,0.666667,1.000000
594741,Col440I,0.000000,0.000000,0.420000,0.720000,0.500000,0.577662,0.000000,0.000000,0.000000,0.000000
594742,,0.000000,0.570000,0.077726,0.840000,0.300000,0.701245,0.370000,0.227670,0.083333,0.000000
594743,IncFII(pCTU2)/pESA2,0.000000,0.000000,0.070000,0.720000,0.900000,0.671458,0.370000,0.000000,0.000000,0.000000
594744,,0.000000,0.000000,0.070000,0.720000,0.300000,0.667033,0.000000,0.000000,0.000000,0.000000
594745,,0.691284,0.000000,0.161186,0.720000,0.300000,0.588303,0.440000,0.000000,0.000000,0.000000
594746,,0.000000,0.000000,0.170134,0.720000,0.300000,0.531232,0.000000,0.000000,0.000000,0.000000
594747,,0.000000,0.000000,0.070000,0.720000,0.300000,0.525280,0.000000,0.000000,0.000000,0.000000
594748,,0.691284,0.000000,0.190083,0.760000,0.300000,0.577209,0.440000,0.000000,0.083333,0.331538
594749,,0.000000,0.000000,0.102891,0.720000,0.300000,0.605113,0.680000,0.000000,0.000000,0.000000
594750,,0.691284,0.000000,0.184537,0.720000,0.300000,0.584998,0.000000,0.000000,0.000000,0.000000
594751,,0.691284,0.000000,0.226965,0.760000,0.300000,0.613496,0.630000,0.000000,0.000000,0.000000
594752,,0.000000,0.000000,0.102837,0.760000,0.300000,0.605222,0.680000,0.000000,0.000000,0.000000
594753,,0.691284,0.000000,0.199960,0.760000,0.300000,0.592172,0.000000,0.000000,0.000000,0.000000
594754,,0.000000,0.540000,0.077844,0.820000,0.300000,0.727147,0.290000,0.000000,0.000000,0.000000
594755,,0.436151,0.000000,0.171709,0.760000,0.300000,0.607542,0.440000,0.000000,0.000000,0.000000
594756,,0.000000,0.000000,0.197877,0.760000,0.300000,0.541910,0.290000,0.889483,0.833333,0.924757
594757,,0.000000,0.510000,0.070000,0.800000,0.300000,0.676976,0.370000,0.227670,0.000000,0.000000
594758,,0.000000,0.330000,0.070000,0.780000,0.300000,0.631761,0.290000,0.000000,0.000000,0.000000
594759,,0.000000,0.000000,0.070000,0.760000,0.300000,0.560774,0.000000,0.000000,0.000000,0.000000
594760,,0.000000,0.330000,0.070000,0.780000,0.300000,0.604116,0.290000,0.756304,0.666667,0.977961
594761,,0.000000,0.000000,0.089820,0.720000,0.300000,0.592727,0.000000,0.000000,0.083333,0.000000
594762,IncI1,0.000000,0.000000,0.081814,0.760000,0.900000,0.673064,0.000000,0.000000,0.000000,0.000000
594763,,0.000000,0.000000,0.420000,0.760000,0.300000,0.505727,0.000000,0.360849,0.416667,0.555173
594764,,0.000000,0.360000,0.086552,0.800000,0.300000,0.711492,0.290000,0.000000,0.000000,0.000000
594765,,0.691284,0.000000,0.178916,0.760000,0.300000,0.666858,0.670000,0.000000,0.083333,0.140165
594766,,0.436151,0.000000,0.189521,0.720000,0.300000,0.638765,0.440000,0.000000,0.000000,0.000000
594767,,0.691284,0.000000,0.128904,0.760000,0.300000,0.566443,0.440000,0.000000,0.000000,0.000000
594768,,0.691284,0.000000,0.100858,0.760000,0.300000,0.563349,0.000000,0.000000,0.000000,0.000000
594769,,0.000000,0.000000,0.168984,0.760000,0.300000,0.592806,0.000000,0.227670,0.416667,0.370481
594770,,0.000000,0.000000,0.070000,0.760000,0.300000,0.622528,0.000000,0.455340,0.333333,0.331538
594771,,0.000000,0.000000,0.089454,0.760000,0.300000,0.639964,0.000000,0.000000,0.000000,0.000000
594772,,0.000000,0.480000,0.070000,0.780000,0.300000,0.534157,0.000000,0.000000,0.000000,0.000000
594773,,0.000000,0.330000,0.420000,0.780000,0.300000,0.577164,0.410000,1.000000,0.916667,1.000000
594774,,0.000000,0.000000,0.080053,0.760000,0.300000,0.637776,0.000000,0.000000,0.000000,0.000000
594775,,0.691284,0.000000,0.164374,0.760000,0.300000,0.579001,0.000000,0.000000,0.000000,0.000000
594776,,0.000000,0.000000,0.170334,0.760000,0.300000,0.531099,0.000000,0.000000,0.000000,0.000000
594777,,0.929409,0.000000,0.187224,0.800000,0.300000,0.608017,0.440000,0.528634,0.333333,0.403640
594778,IncQ1,0.691284,0.000000,0.420000,0.720000,0.500000,0.600215,0.000000,0.227670,0.083333,0.000000
594779,,0.691284,0.000000,0.097536,0.760000,0.300000,0.643813,0.330000,0.000000,0.000000,0.000000
594780,,0.000000,0.000000,0.097503,0.760000,0.300000,0.616987,0.000000,0.000000,0.000000,0.000000
594781,,0.000000,0.540000,0.093576,0.820000,0.300000,0.627211,0.290000,0.360849,0.333333,0.458090
594782,,0.000000,0.540000,0.081459,0.820000,0.300000,0.675089,0.290000,0.227670,0.083333,0.000000
594783,,0.000000,0.330000,0.070000,0.780000,0.300000,0.662797,0.330000,0.000000,0.000000,0.000000
594784,,0.000000,0.480000,0.076955,0.780000,0.300000,0.662227,0.290000,0.000000,0.000000,0.000000
594785,,0.691284,0.000000,0.070000,0.760000,0.300000,0.537545,0.000000,0.000000,0.000000,0.000000
594786,ColRNAI,0.000000,0.000000,0.070000,0.760000,0.900000,0.560547,0.000000,0.000000,0.000000,0.000000
594787,,0.000000,0.000000,0.094572,0.760000,0.300000,0.624464,0.000000,0.528634,0.333333,0.780952
594788,,0.000000,0.570000,0.116349,0.840000,0.300000,0.609259,0.370000,0.360849,0.166667,0.555173
594789,,0.000000,0.330000,0.082013,0.780000,0.300000,0.625953,0.330000,0.227670,0.000000,0.000000
594790,,0.000000,0.330000,0.070000,0.780000,0.300000,0.634858,0.290000,0.000000,0.000000,0.000000
594791,,0.000000,0.540000,0.079788,0.820000,0.300000,0.639549,0.290000,0.639151,0.500000,0.351882
594792,,0.000000,0.360000,0.076785,0.760000,0.300000,0.663871,0.000000,0.000000,0.000000,0.000000
594793,,0.000000,0.000000,0.112772,0.720000,0.300000,0.541683,0.000000,0.000000,0.000000,0.000000
594794,,0.000000,0.510000,0.075189,0.800000,0.300000,0.681663,0.370000,0.360849,0.416667,0.501970
594795,,0.000000,0.540000,0.080080,0.820000,0.300000,0.683599,0.000000,0.000000,0.000000,0.000000
594796,,0.000000,0.330000,0.083395,0.780000,0.300000,0.664727,0.000000,0.000000,0.000000,0.000000
594797,,0.000000,0.480000,0.070000,0.780000,0.300000,0.563322,0.000000,0.000000,0.000000,0.000000
594798,IncI1,0.000000,0.480000,0.080178,0.780000,0.900000,0.636957,0.290000,0.639151,0.583333,0.316928
594799,,0.000000,0.000000,0.070000,0.760000,0.300000,0.581954,0.000000,0.000000,0.000000,0.000000
594800,,0.000000,0.000000,0.113215,0.760000,0.300000,0.540998,0.000000,0.000000,0.083333,0.140165
594801,,0.000000,0.480000,0.103267,0.780000,0.300000,0.604360,0.560000,0.000000,0.166667,0.331538
594802,,0.000000,0.000000,0.600032,0.760000,0.300000,0.683706,0.290000,0.000000,0.000000,0.000000
594803,,0.000000,0.000000,0.070000,0.760000,0.300000,0.546588,0.000000,0.227670,0.166667,0.223984
594804,,0.000000,0.360000,0.070000,0.800000,0.300000,0.531519,0.680000,0.588519,0.750000,1.000000
594805,,0.000000,0.540000,0.073017,0.820000,0.300000,0.717659,0.000000,0.000000,0.000000,0.000000
594806,,0.000000,0.330000,0.076417,0.780000,0.300000,0.667569,0.370000,0.360849,0.250000,0.403640
594807,pXuzhou21,0.000000,0.000000,0.070000,0.760000,0.300000,0.703358,0.000000,0.000000,0.000000,0.000000
594808,,0.000000,0.360000,0.074961,0.800000,0.300000,0.684645,0.000000,0.000000,0.000000,0.000000
594809,,0.000000,0.540000,0.078141,0.780000,0.300000,0.651778,0.000000,0.000000,0.000000,0.000000
594810,,0.000000,0.000000,0.070000,0.760000,0.300000,0.644889,0.290000,0.360849,0.250000,0.331538
594811,,0.000000,0.000000,0.070000,0.720000,0.300000,0.702204,0.450000,0.000000,0.000000,0.000000
594812,,0.000000,0.540000,0.075317,0.780000,0.300000,0.726043,0.290000,0.000000,0.000000,0.000000
594813,,0.000000,0.000000,0.196689,0.760000,0.300000,0.515622,0.000000,0.227670,0.250000,0.403640
594814,,0.000000,0.000000,0.288386,0.760000,0.300000,0.562622,0.000000,0.455340,0.250000,0.694091
594815,,0.000000,0.000000,0.073254,0.720000,0.300000,0.712634,0.290000,0.000000,0.000000,0.000000
594816,,0.000000,0.000000,0.070000,0.760000,0.300000,0.668742,0.290000,0.227670,0.083333,0.000000
594817,,0.000000,0.000000,0.070000,0.720000,0.300000,0.706044,0.450000,0.000000,0.000000,0.000000
594818,,0.000000,0.000000,0.203469,0.760000,0.300000,0.595298,0.330000,0.455340,0.250000,0.403640
594819,,0.000000,0.000000,0.090874,0.760000,0.300000,0.589290,0.000000,0.360849,0.083333,0.000000
594820,,0.000000,0.000000,0.070000,0.720000,0.300000,0.623831,0.000000,0.000000,0.000000,0.000000
594821,,0.000000,0.000000,0.070000,0.720000,0.300000,0.588621,0.000000,0.000000,0.000000,0.000000
594822,,0.000000,0.000000,0.070000,0.720000,0.300000,0.574599,0.000000,0.000000,0.000000,0.000000
594823,,0.000000,0.000000,0.070000,0.720000,0.300000,0.518097,0.000000,0.227670,0.000000,0.000000
594824,,0.000000,0.360000,0.070000,0.800000,0.300000,0.655816,0.410000,0.227670,0.333333,0.403640
594825,,0.000000,0.000000,0.078419,0.720000,0.300000,0.649544,0.290000,0.000000,0.000000,0.000000
594826,,0.000000,0.000000,0.070000,0.720000,0.300000,0.610411,0.000000,0.000000,0.000000,0.000000
594827,IncI1,0.691284,0.000000,0.163497,0.720000,0.900000,0.700340,0.440000,0.000000,0.000000,0.000000
594828,,0.000000,0.000000,0.076534,0.760000,0.300000,0.666372,0.000000,1.000000,1.000000,0.944353
594829,,0.000000,0.000000,0.070000,0.720000,0.300000,0.483346,0.000000,0.000000,0.000000,0.000000
594830,,0.000000,0.480000,0.090950,0.740000,0.300000,0.635048,0.290000,0.000000,0.000000,0.000000
594831,,0.000000,0.000000,0.070000,0.760000,0.300000,0.505727,0.000000,0.227670,0.250000,0.223984
594832,,0.691284,0.000000,0.094008,0.720000,0.300000,0.580007,0.000000,0.000000,0.000000,0.000000
594833,IncX1,0.000000,0.000000,0.423972,0.720000,0.900000,0.699392,0.330000,0.000000,0.000000,0.000000
594834,,0.000000,0.000000,0.155324,0.720000,0.300000,0.541853,0.440000,0.000000,0.000000,0.000000
594835,,0.000000,0.000000,0.070000,0.720000,0.300000,0.533689,0.000000,0.000000,0.000000,0.000000
594836,,0.691284,0.000000,0.189404,0.720000,0.300000,0.651021,0.710000,0.000000,0.000000,0.000000
594837,IncI1,0.872303,0.480000,0.074203,0.740000,0.900000,0.695656,0.290000,0.000000,0.083333,0.000000
594838,,0.000000,0.000000,0.127937,0.800000,0.300000,0.521543,0.000000,1.000000,1.000000,0.827923
594839,IncA/C2,0.691284,0.000000,0.088535,0.800000,0.900000,0.670084,0.680000,0.588519,0.750000,0.491748
594840,IncX4,0.000000,0.000000,0.420000,0.720000,0.900000,0.692011,0.370000,0.227670,0.083333,0.000000
594841,,0.000000,0.360000,0.080622,0.760000,0.300000,0.680123,0.410000,0.000000,0.000000,0.000000
594842,,0.691284,0.000000,0.103852,0.720000,0.300000,0.630109,0.440000,0.000000,0.000000,0.000000
594843,,0.000000,0.000000,0.092642,0.720000,0.300000,0.583895,0.000000,0.000000,0.000000,0.000000
594844,,0.000000,0.510000,0.073233,0.760000,0.300000,0.713062,0.490000,0.000000,0.166667,0.223984
594845,,0.000000,0.000000,0.070000,0.720000,0.300000,0.613828,0.000000,0.000000,0.000000,0.000000
594846,IncQ1,0.691284,0.000000,0.420000,0.720000,0.500000,0.602267,0.000000,0.227670,0.083333,0.140165
594847,,0.000000,0.330000,0.070000,0.740000,0.300000,0.497899,0.290000,0.000000,0.000000,0.000000
594848,,0.000000,0.000000,0.070000,0.760000,0.300000,0.557143,0.000000,0.455340,0.250000,0.284318
594849,,0.000000,0.000000,0.158313,0.760000,0.300000,0.539568,0.000000,0.588519,0.583333,0.853752
594850,,0.000000,0.330000,0.074951,0.780000,0.300000,0.684775,0.290000,0.455340,0.583333,0.611119
594851,IncFIB(S),0.000000,0.540000,0.088957,0.820000,0.900000,0.641680,0.410000,0.639151,0.750000,0.741461
594852,,0.000000,0.000000,0.128816,0.720000,0.300000,0.593451,0.000000,0.000000,0.000000,0.000000
594853,IncX2,0.691284,0.000000,0.427805,0.760000,0.300000,0.654571,0.370000,0.639151,0.416667,0.382099
594854,,0.000000,0.330000,0.081508,0.740000,0.300000,0.628803,0.000000,0.000000,0.000000,0.000000
594855,,0.000000,0.480000,0.070000,0.740000,0.300000,0.681460,0.000000,0.000000,0.000000,0.000000
594856,,0.000000,0.360000,0.429314,0.800000,0.300000,0.642844,0.330000,0.455340,0.333333,0.403640
